Roll No,14MX11,14MX12,14MX13,14MX14,14MX15,14MX21,14MX22,14MX23,14MX24,14MX25,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39
14MX01,8,10,8,8,7,9,10,6,7,9,8,9,6,6,10,0,8,0,0,6,0,0,0,10,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,0,0,0,0,0,8
14MX02,7,8,7,7,10,6,9,6,7,7,0,10,0,0,10,0,0,0,9,9,8,0,0,0,0,8,8,0,0,0,8,0,0,0,8,8,6,0,0,0,10,0,0,0,9,0,0,0,0
14MX03,8,6,9,8,7,9,10,6,10,10,0,7,0,10,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,8,0,0,8,0,0,0,10,0,0,0,0,0,6,0
14MX04,9,9,10,6,9,7,8,10,9,9,0,0,8,0,9,0,0,8,9,0,0,0,0,8,6,8,0,10,0,7,10,0,7,0,0,0,0,0,0,7,0,0,0,0,0,0,8,0,6
14MX05,6,10,6,10,9,7,9,8,6,9,0,0,0,0,0,10,10,6,7,0,7,0,6,0,0,0,7,0,0,6,0,10,0,0,0,0,0,8,0,7,0,0,8,0,0,6,0,0,6
14MX06,10,8,9,6,7,6,6,9,7,9,0,6,7,9,0,0,0,0,9,0,0,0,0,0,6,0,0,0,0,0,0,0,9,0,6,0,0,7,0,7,9,0,0,10,0,0,0,0,0
14MX07,9,7,10,10,10,8,8,6,8,10,0,0,0,0,0,8,0,0,9,0,0,9,0,7,7,10,0,7,0,6,8,0,0,0,0,9,6,0,8,0,10,0,0,0,6,0,8,0,0
14MX08,10,7,7,9,9,10,7,8,6,8,0,10,0,8,0,0,0,0,8,0,0,0,0,0,0,0,9,0,0,8,0,0,10,0,10,0,0,7,0,0,10,8,7,9,0,0,0,6,9
14MX09,10,9,10,9,6,9,9,9,7,10,0,0,0,0,0,0,0,0,0,10,0,9,6,6,7,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,8,0,0,0,0
14MX10,10,9,9,7,9,6,10,7,6,9,0,7,10,0,0,0,9,10,0,8,9,6,7,0,0,0,0,0,10,0,0,0,10,0,0,6,0,0,0,9,6,0,0,0,7,0,0,0,0
14MX11,8,7,10,7,7,6,9,7,10,6,0,6,0,0,0,0,0,0,0,6,0,8,0,9,9,0,0,7,8,0,0,0,0,0,10,7,0,9,0,10,0,0,0,0,9,9,0,6,0
14MX12,9,8,6,6,10,10,8,10,10,10,0,8,0,6,8,0,0,7,0,0,6,8,7,0,0,0,0,10,0,0,0,0,0,0,0,7,0,0,0,0,0,7,9,0,0,9,0,0,0
14MX13,10,10,8,10,9,7,6,10,6,6,0,0,10,0,7,6,9,6,0,0,0,10,0,6,10,6,0,6,0,0,6,0,0,0,0,0,0,0,0,6,0,0,10,6,0,0,0,0,8
14MX14,10,7,10,8,8,8,8,10,10,9,6,0,10,0,0,8,6,0,10,10,9,8,0,0,7,0,0,0,0,9,0,0,0,0,0,0,9,7,6,0,0,0,0,0,10,10,0,0,0
14MX15,7,10,7,6,9,10,8,9,8,8,0,0,0,0,10,0,0,0,0,0,9,0,0,6,0,0,10,8,0,6,8,0,10,0,9,10,0,8,0,8,9,0,7,10,6,0,0,8,8
14MX16,6,6,7,10,10,9,6,7,6,7,6,7,6,0,0,10,0,8,0,0,0,6,0,6,0,0,0,0,0,0,6,0,8,8,0,0,0,0,0,10,9,6,0,0,0,10,8,0,8
14MX17,7,8,10,6,9,8,9,9,9,6,10,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,7,0,0,0,0,0,7,8,0,8,6,0,0,7,0,10
14MX18,10,10,9,7,9,8,9,6,7,7,10,6,0,0,0,9,0,0,9,0,0,0,9,0,0,0,10,0,6,6,0,0,0,0,0,10,0,9,0,0,0,0,0,8,9,9,0,0,6
14MX19,7,10,6,8,8,6,9,8,6,10,8,7,0,0,9,0,8,0,10,6,0,0,0,0,9,10,0,7,10,10,0,9,10,10,10,7,0,0,0,7,0,0,0,7,7,0,0,7,10
14MX20,8,10,6,7,9,7,7,7,10,7,0,7,0,6,0,0,6,0,0,0,10,0,7,0,0,9,0,0,8,0,0,7,0,8,0,0,0,8,8,0,8,0,0,8,0,0,0,0,0
14MX21,7,7,8,6,8,10,9,10,6,8,9,0,9,0,8,0,9,8,0,0,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,9,10,8,7,7
14MX22,8,6,10,8,8,9,9,10,6,6,9,0,0,0,8,9,0,0,9,0,0,0,0,0,0,0,0,0,8,0,0,0,0,7,0,0,0,9,0,0,0,6,0,0,6,0,8,0,9
14MX23,9,6,6,8,10,7,7,8,9,8,0,8,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,10,0,0,6,9,0,0,0,0,0,0,0,0,9,10,0,0,0,7,0
14MX24,6,8,8,7,6,7,8,10,8,6,9,9,0,0,0,0,9,0,0,0,0,9,9,0,0,6,0,9,0,10,0,6,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,8
14MX25,8,6,6,8,9,6,6,7,7,10,9,6,0,0,8,6,7,0,0,0,0,0,9,9,8,0,9,9,0,0,0,0,0,0,6,9,0,0,0,0,0,6,7,0,0,0,6,8,0
14MX26,9,10,8,7,7,8,10,7,10,8,0,0,0,8,7,0,0,7,0,9,0,0,0,0,0,0,0,0,9,0,0,0,9,0,0,10,0,0,9,0,0,0,0,0,0,0,0,0,0
14MX27,10,7,7,10,10,9,10,6,10,8,8,0,9,0,0,0,9,0,10,7,0,0,0,0,6,0,6,0,7,0,0,0,0,0,0,9,7,6,10,10,10,9,0,0,0,9,0,0,0
14MX28,8,7,8,10,6,8,6,7,7,8,10,0,0,0,0,0,0,0,0,0,0,0,9,0,0,6,0,9,0,10,10,0,9,0,0,0,0,0,7,8,0,6,0,8,0,6,0,0,6
14MX29,8,8,10,6,10,7,7,6,7,6,6,0,6,0,0,6,0,0,0,0,9,0,8,10,0,0,7,0,0,7,0,0,8,0,0,0,9,0,0,0,10,0,0,0,0,8,0,0,10
14MX30,7,8,8,9,10,9,8,10,6,8,6,0,7,9,9,10,0,0,8,0,6,0,0,0,0,0,0,6,9,0,0,0,0,0,0,0,0,10,10,0,0,0,9,0,9,0,0,8,0
14MX31,10,8,7,8,8,6,9,9,7,6,8,0,8,0,0,0,0,0,0,0,9,9,0,0,8,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
14MX32,6,8,9,7,8,10,8,7,10,7,0,0,0,0,0,0,10,0,7,0,7,6,0,10,0,0,0,10,6,0,0,0,6,0,9,9,0,0,0,6,9,6,0,7,8,10,0,0,6
14MX33,7,10,9,9,10,9,6,7,10,8,0,10,0,0,7,0,10,6,8,0,0,0,0,0,0,9,0,10,0,0,0,10,0,7,0,9,0,0,0,0,7,8,0,0,9,0,0,0,0
14MX34,6,8,9,6,9,9,8,8,7,9,0,10,0,0,0,0,0,0,0,9,0,0,0,0,0,0,6,0,0,7,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
14MX35,9,7,6,10,10,9,9,10,10,6,9,0,0,0,0,0,0,0,8,10,0,0,0,0,0,0,0,0,0,7,0,0,0,0,10,0,0,0,0,0,8,8,0,0,0,0,6,9,0
14MX36,10,6,7,10,6,8,6,6,6,9,0,0,6,7,0,0,0,0,0,0,10,0,7,0,0,0,0,0,7,8,0,0,0,0,7,0,7,10,10,0,7,9,6,0,0,0,0,0,8
14MX37,8,8,8,10,6,6,8,6,6,10,0,0,8,0,0,0,6,9,0,10,7,0,7,9,0,0,6,6,8,0,8,0,9,0,6,0,0,8,0,0,0,0,9,0,0,0,0,9,0
14MX38,10,7,7,7,9,9,8,8,7,10,0,0,0,6,0,0,9,0,0,7,0,0,0,0,10,8,0,0,10,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
14MX39,8,9,10,9,9,6,8,10,6,9,0,0,0,7,6,7,10,7,8,0,8,8,8,0,0,0,0,7,0,0,0,6,9,0,0,0,0,8,0,9,0,0,0,0,7,0,0,0,0
14MX40,7,8,9,8,6,10,6,6,9,9,0,9,0,0,0,0,0,0,9,0,0,8,6,8,0,0,0,9,0,0,7,8,0,7,0,9,0,0,6,9,0,0,0,0,10,8,0,0,10
14MX41,7,9,10,8,6,6,6,8,10,10,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,6,7,0,10,0,0,0,0,0,9,7,0,8,0
14MX42,7,10,7,9,6,7,9,6,8,8,0,0,9,0,0,0,0,0,0,0,7,10,0,0,7,0,0,0,8,7,8,0,0,8,0,8,0,0,0,0,9,0,0,0,0,0,0,6,7
14MX43,9,9,6,7,10,8,6,7,9,9,9,0,0,0,9,0,10,0,0,6,0,0,0,7,0,0,0,7,10,0,9,6,0,0,0,0,8,6,0,8,0,0,10,8,9,0,0,6,6
14MX44,10,8,9,9,7,8,8,8,7,9,7,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,7,0,6,6,0,8,0,0,7,0,0,0,0,6,0,0,0,0,6,0,0,0,0
14MX45,7,6,10,10,9,7,9,9,7,8,0,0,9,0,9,0,0,0,8,8,0,0,8,0,10,0,0,0,9,0,0,0,0,0,10,8,0,7,0,7,0,8,7,0,0,9,6,10,0
14MX46,8,9,6,8,10,9,9,8,7,10,0,0,9,0,0,7,0,7,8,9,0,0,0,0,9,6,0,7,0,0,0,0,0,0,9,0,6,0,8,0,0,0,9,0,6,0,6,0,7
14MX47,6,7,9,8,7,10,8,6,7,8,0,7,0,0,7,0,6,0,0,8,0,0,0,0,0,8,0,10,7,9,6,0,0,0,0,0,0,0,9,0,0,0,0,8,9,0,10,0,7
14MX48,9,7,8,8,7,6,9,8,8,7,7,0,0,0,10,0,0,0,0,9,0,0,0,0,6,0,9,9,0,0,0,9,0,0,8,0,10,0,0,0,7,0,0,0,0,9,0,0,7
14MX49,7,6,6,10,10,6,8,9,10,9,9,0,9,0,9,0,0,0,0,0,0,6,0,9,0,10,0,6,10,0,0,9,9,0,0,7,0,10,0,6,8,10,0,0,0,0,0,9,0
14MX50,6,9,9,7,10,8,9,10,9,6,0,0,0,0,0,8,9,0,0,0,0,9,10,0,0,8,0,0,9,0,0,9,0,0,0,0,0,0,0,6,0,0,0,10,0,0,6,0,0
14MX51,9,9,7,9,9,9,10,8,7,8,0,0,7,0,0,0,0,0,10,0,6,0,6,0,10,0,8,0,0,0,0,0,0,0,0,0,0,9,0,0,7,0,10,10,0,0,0,0,0
14MX52,10,10,10,9,7,7,8,6,8,7,0,0,0,0,8,0,0,7,0,0,10,0,0,0,8,0,0,0,6,10,9,10,0,8,8,0,0,6,10,0,0,9,0,0,10,6,0,0,7
14MX53,7,6,7,9,8,9,7,8,8,10,0,0,0,6,9,0,0,0,7,0,0,0,6,7,0,0,9,8,0,10,0,6,0,0,9,0,9,0,0,9,0,0,8,10,0,0,10,0,7
14MX54,7,7,8,6,10,7,7,10,9,10,0,0,0,9,0,0,9,0,7,6,9,0,0,9,0,8,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,0,6,9,0,8
14MX55,8,9,6,7,8,10,6,6,8,8,9,7,0,0,0,0,0,0,7,0,10,0,0,0,0,0,0,0,9,0,10,0,0,0,8,0,8,0,10,0,0,8,6,6,0,6,0,0,0
14MX56,6,8,6,9,7,7,9,7,10,9,0,6,0,0,9,7,10,0,9,0,8,0,0,0,10,0,0,8,0,7,0,0,0,8,0,0,0,0,7,9,9,0,7,0,0,0,0,0,0
14MX57,7,10,7,7,7,8,10,9,7,10,0,6,0,0,7,0,0,0,0,8,7,0,8,0,9,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,9
14MX58,8,7,8,10,8,8,9,6,9,9,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,10,0,0,9,0,0,0,9,0,0,0,0,0,0,6,0,0,0,0,8,0,0,7,10
14MX59,9,6,9,6,8,7,6,10,10,10,7,6,0,0,0,8,9,8,0,0,0,0,6,0,6,0,0,0,8,0,0,0,0,6,0,0,7,0,0,0,0,0,0,10,0,6,0,0,10
14MX60,7,10,10,7,7,9,10,10,6,6,0,0,9,6,0,0,0,0,8,0,0,0,0,0,7,9,0,0,0,9,9,0,0,0,8,0,8,0,0,0,6,10,9,0,8,6,0,0,8
